State,Spending
Alabama,16.8
Alaska,4.3
Arizona,14.3
Arkansas,8.4
California,109.6
Colorado,15.3
Connecticut,12.8
Delaware,4.3
District of Columbia,3.9
Florida,41
Georgia,27
Hawaii,3.3
Idaho,3.3
Illinois,39.4
Indiana,17
Iowa,10.8
Kansas,8.9
Kentucky,12.3
Louisiana,10.9
Maine,3.1
Maryland,18.7
Massachusetts,24.8
Michigan,28.4
Minnesota,19
Mississippi,7.2
Missouri,14.9
Montana,2.9
Nebraska,6.8
Nevada,6
New Hampshire,3.6
New Jersey,34.6
New Mexico,6.1
New York,74
North Carolina,28.2
North Dakota,3.2
Ohio,34.4
Oklahoma,10.5
Oregon,11.5
Pennsylvania,43.1
Rhode Island,3.5
South Carolina,15.3
South Dakota,2.3
Tennessee,14.7
Texas,79.6
Utah,9.7
Vermont,2.8
Virginia,27.7
Washington,23.7
West Virginia,6
Wisconsin,17.5
Wyoming,2.8
